EFFECTIVE_DATE,TYPE,SUBTYPE,EMP_ID,FULL_NAME,FIRST_NAME,LAST_NAME,MIDDLE_NAME_INITIAL,EMAIL,FTE_TYPE,WORK_LOC_STATUS,FULL_TIME_PART_TIME,EXEMPT_BONUS_FLAG,STATUS_ACTIVE_TERMED,ACQUIRED_COMPANY_NAME,COMPENSATION_GRADE,HIRE_DATE,COMPENSATION_GRADE_GROUPING,HIRE_APPROVAL_DATE,CONTINUOUS_SERVICE_DATE,TERMINATION_DATE,TERMINATION_APPROVAL_DATE,TERMINATION_REGRET_NONREGRET,TERMINATION_VOL_INVOL,LAST_WORK_DATE,LENGTH_OF_SERVICE,TENURE_GROUPING,ECOMM_ROLLUP,MANAGER_ID,MANAGER_NAME,MGT_CHAIN_LVL_01_NM,MGT_CHAIN_LVL_02_NM,MGT_CHAIN_LVL_03_NM,MGT_CHAIN_LVL_04_NM,MGT_CHAIN_LVL_05_NM,MGT_CHAIN_LVL_06_NM,MGT_CHAIN_LVL_07_NM,MGT_CHAIN_LVL_08_NM,MGT_CHAIN_LVL_09_NM,MGT_CHAIN_LVL_10_NM,MGT_CHAIN_LVL_11_NM,MGT_CHAIN_LVL_12_NM,MGT_CHAIN_LVL_13_NM,MGT_CHAIN_LVL_14_NM,IS_MANAGER_FLAG,EMP_BUSINESS_TITLE,AE_VS_NONAE_TOTAL_COMPANY,EMP_LOCATION_STATE_COUNTRY_CITY,EMP_MARKET_SEGMENT_SALES_CSG_ONLY,EMP_COMPANY_ENTITY_ID,EMP_COMPANY_ENTITY_NAME,EMP_GEOGRAPHIC_REGION_DIVISION,EMP_CONSOLIDATED_GEO,EMP_PCC_ID,EMP_PCC_NAME,EMP_FTE_TIME_PERCENTAGE,EMP_PRIMARY_JOB_WORKSPACE,EMP_RECORD_DELETE_FLAG,JOB_CODE_ID,JOB_NAME,JOB_FAMILY,JOB_FAMILY_GROUP,ABV_HIERARCHY_LEVEL_0,ABV_HIERARCHY_LEVEL_1,ABV_HIERARCHY_LEVEL_2,ABV_HIERARCHY_LEVEL_3,COST_CENTER_ID,COST_CENTER_NAME,BUSINESS_UNIT_ID,BUSINESS_UNIT_NAME,PRODUCT_ID,PRODUCT_NAME,INDUSTRY_ID,INDUSTRY_NAME,MARKET_SEGMENT_ID,MARKET_SEGMENT_NAME,REGION_HIERARCHY,AE_FLAG,CURRENT_POSITION_EFCTV_DT,LAST_POSITION_CHNG_EFCTV_DT,POSITION_ID,POSITION_NAME,STAFFING_STATUS,PRIMARY_POSITION,POSITION_VACATED_DATE,CURRENT_POSITION_FILLED,PLANNING_ORG_ID,PLANNING_ORG_NAME,FISCAL_QUARTER_NAME,FISCAL_QUARTER_WITH_YEAR,FISCAL_YEAR,FISCAL_YEAR_NAME,FISCAL_YEAR_MONTH,FISCAL_MONTH_NAME,FISCAL_QUARTER_YEAR,FY_MONTH_YEAR,EOW_FLAG,EOM_FLAG,FISCAL_EOQ_FLAG,FISCAL_EOY_FLAG,RECORD_COUNT,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,SOURCE_CREATED_BY,SOURCE_CREATION_DATE,SOURCE_LAST_UPDATED_BY,SOURCE_LAST_UPDATE_DATE
2025-01-01,EMP,HEADCOUNT,E00001,Employee 1,First1,Last1,A,emp1@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-01,Mid,2025-01-01,2025-01-01,,,,,,1.0,0-5 Years,Ecomm,M2,Manager2,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC1,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-01,2025-01-01,POS1,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599650,SYSTEM,2026-07-01 09:13:04.599655,SYSTEM,2026-07-01 09:13:04.599655,SYSTEM,2026-07-01 09:13:04.599656
2025-01-02,EMP,HEADCOUNT,E00002,Employee 2,First2,Last2,A,emp2@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-02,Mid,2025-01-02,2025-01-02,,,,,,2.0,0-5 Years,Ecomm,M3,Manager3,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC2,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-02,2025-01-02,POS2,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599666,SYSTEM,2026-07-01 09:13:04.599667,SYSTEM,2026-07-01 09:13:04.599667,SYSTEM,2026-07-01 09:13:04.599667
2025-01-03,EMP,HEADCOUNT,E00003,Employee 3,First3,Last3,A,emp3@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-03,Mid,2025-01-03,2025-01-03,,,,,,3.0,0-5 Years,Ecomm,M4,Manager4,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC3,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-03,2025-01-03,POS3,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599673,SYSTEM,2026-07-01 09:13:04.599674,SYSTEM,2026-07-01 09:13:04.599674,SYSTEM,2026-07-01 09:13:04.599674
2025-01-04,EMP,HEADCOUNT,E00004,Employee 4,First4,Last4,A,emp4@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-04,Mid,2025-01-04,2025-01-04,,,,,,4.0,0-5 Years,Ecomm,M5,Manager5,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC4,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-04,2025-01-04,POS4,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599679,SYSTEM,2026-07-01 09:13:04.599679,SYSTEM,2026-07-01 09:13:04.599680,SYSTEM,2026-07-01 09:13:04.599680
2025-01-05,EMP,HEADCOUNT,E00005,Employee 5,First5,Last5,A,emp5@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-05,Mid,2025-01-05,2025-01-05,,,,,,5.0,0-5 Years,Ecomm,M6,Manager6,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC5,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-05,2025-01-05,POS5,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599685,SYSTEM,2026-07-01 09:13:04.599685,SYSTEM,2026-07-01 09:13:04.599685,SYSTEM,2026-07-01 09:13:04.599686
2025-01-06,EMP,HEADCOUNT,E00006,Employee 6,First6,Last6,A,emp6@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-06,Mid,2025-01-06,2025-01-06,,,,,,6.0,0-5 Years,Ecomm,M7,Manager7,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC6,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-06,2025-01-06,POS6,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599690,SYSTEM,2026-07-01 09:13:04.599690,SYSTEM,2026-07-01 09:13:04.599691,SYSTEM,2026-07-01 09:13:04.599691
2025-01-07,EMP,HEADCOUNT,E00007,Employee 7,First7,Last7,A,emp7@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-07,Mid,2025-01-07,2025-01-07,,,,,,7.0,0-5 Years,Ecomm,M8,Manager8,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC7,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-07,2025-01-07,POS7,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599695,SYSTEM,2026-07-01 09:13:04.599695,SYSTEM,2026-07-01 09:13:04.599695,SYSTEM,2026-07-01 09:13:04.599696
2025-01-08,EMP,HEADCOUNT,E00008,Employee 8,First8,Last8,A,emp8@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-08,Mid,2025-01-08,2025-01-08,,,,,,8.0,0-5 Years,Ecomm,M9,Manager9,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC8,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-08,2025-01-08,POS8,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599700,SYSTEM,2026-07-01 09:13:04.599700,SYSTEM,2026-07-01 09:13:04.599700,SYSTEM,2026-07-01 09:13:04.599701
2025-01-09,EMP,HEADCOUNT,E00009,Employee 9,First9,Last9,A,emp9@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-09,Mid,2025-01-09,2025-01-09,,,,,,9.0,0-5 Years,Ecomm,M10,Manager10,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC9,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-09,2025-01-09,POS9,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599705,SYSTEM,2026-07-01 09:13:04.599705,SYSTEM,2026-07-01 09:13:04.599705,SYSTEM,2026-07-01 09:13:04.599706
2025-01-10,EMP,HEADCOUNT,E00010,Employee 10,First10,Last10,A,emp10@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-10,Mid,2025-01-10,2025-01-10,,,,,,10.0,0-5 Years,Ecomm,M1,Manager1,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC10,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-10,2025-01-10,POS10,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599710,SYSTEM,2026-07-01 09:13:04.599711,SYSTEM,2026-07-01 09:13:04.599711,SYSTEM,2026-07-01 09:13:04.599711
